date,tourist
2005/1/1,2792
2005/2/1,2579
2005/3/1,2438
2005/4/1,3090
2005/5/1,3015
2005/6/1,2681
2005/7/1,2759
2005/8/1,3196
2005/9/1,4578
2005/10/1,4829
2005/11/1,5726
2005/12/1,4844
2006/1/1,3280
2006/2/1,2887
2006/3/1,3151
2006/4/1,4592
2006/5/1,4884
2006/6/1,3656
2006/7/1,3892
2006/8/1,3806
2006/9/1,6736
2006/10/1,6456
2006/11/1,7066
2006/12/1,4518
2007/1/1,3522
2007/2/1,3925
2007/3/1,2876
2007/4/1,4052
2007/5/1,4107
2007/6/1,4454
2007/7/1,5014
2007/8/1,4566
2007/9/1,6456
2007/10/1,5663
2007/11/1,6494
2007/12/1,5455
2008/1/1,4200
2008/2/1,4203
2008/3/1,3967
2008/4/1,4862
2008/5/1,5971
2008/6/1,4614
2008/7/1,3574
2008/8/1,2613
2008/9/1,6389
2008/10/1,5490
2008/11/1,4665
2008/12/1,3686
2009/1/1,6005
2009/2/1,2362
2009/3/1,2409
2009/4/1,4361
2009/5/1,2499
2009/6/1,1620
2009/7/1,2129
2009/8/1,3050
2009/9/1,4580
2009/10/1,5407
2009/11/1,3814
2009/12/1,3688
2010/1/1,3803
2010/2/1,7296
2010/3/1,3193
2010/4/1,4493
2010/5/1,5624
2010/6/1,5177
2010/7/1,4477
2010/8/1,4450
2010/9/1,6601
2010/10/1,7132
2010/11/1,4884
2010/12/1,4325
2011/1/1,5849
2011/2/1,6542
2011/3/1,3655
2011/4/1,4624
2011/5/1,7844
2011/6/1,5899
2011/7/1,6614
2011/8/1,7321
2011/9/1,10481
2011/10/1,8728
2011/11/1,7179
2011/12/1,7002
2012/1/1,14057
2012/2/1,5704
2012/3/1,5499
2012/4/1,9600
2012/5/1,11911
2012/6/1,10190
2012/7/1,11443
2012/8/1,10486
2012/9/1,12130
2012/10/1,11125
2012/11/1,7100
2012/12/1,7622
2013/1/1,9550
2013/2/1,14595
2013/3/1,6460
2013/4/1,9893
2013/5/1,13155
2013/6/1,11261
2013/7/1,11880
2013/8/1,11736
2013/9/1,12546
2013/10/1,9410
2013/11/1,6347
2013/12/1,8176
2014/1/1,15527
2014/2/1,13008
2014/3/1,7892
2014/4/1,11585
2014/5/1,15885
2014/6/1,13387
2014/7/1,17220
2014/8/1,15441
2014/9/1,16150
2014/10/1,12061
2014/11/1,9871
2014/12/1,11691
2015/1/1,10476
2015/2/1,22112
2015/3/1,10386
2015/4/1,12747
2015/5/1,18759
2015/6/1,17048
2015/7/1,15861
2015/8/1,16512
2015/9/1,15893
2015/10/1,13440
2015/11/1,8673
2015/12/1,11613
2016/1/1,13419
2016/2/1,18122
2016/3/1,9418
2016/4/1,13062
2016/5/1,20164
2016/6/1,18298
2016/7/1,15982
2016/8/1,13281
2016/9/1,12720
2016/10/1,14265
2016/11/1,6992
2016/12/1,8603
2017/1/1,19758
2017/2/1,9701
2017/3/1,7295
2017/4/1,14099
2017/5/1,14260
2017/6/1,11400
2017/7/1,12408
2017/8/1,11346
2017/9/1,13193
2017/10/1,10508
2017/11/1,7559
2017/12/1,9705
2018/1/1,8919
2018/2/1,19266
2018/3/1,7860
2018/4/1,10396
2018/5/1,12262
2018/6/1,12691
2018/7/1,8965
2018/8/1,10015
2018/9/1,11177
2018/10/1,7325
2018/11/1,6184
2018/12/1,8187
2019/1/1,10944
2019/2/1,11604
2019/3/1,6740
2019/4/1,6502
2019/5/1,8231
2019/6/1,9119
2019/7/1,8562
2019/8/1,7924
2019/9/1,6179
2019/10/1,5039
2019/11/1,4258
2019/12/1,6980
2020/1/1,12445
2020/2/1,2151
2020/3/1,467
2020/4/1,11
2020/5/1,18
2020/6/1,29
2020/7/1,20
2020/8/1,44
2020/9/1,27
2020/10/1,73
2020/11/1,188
2020/12/1,404
2021/1/1,105
2021/2/1,81
2021/3/1,141
2021/4/1,167
2021/5/1,654
2021/6/1,597
2021/7/1,463
2021/8/1,564
2021/9/1,340
2021/10/1,361
2021/11/1,873
2021/12/1,2341
2022/1/1,789
2022/2/1,358
2022/3/1,1560
2022/4/1,588
2022/5/1,1143
2022/6/1,1080
2022/7/1,859
2022/8/1,852
2022/9/1,684
2022/10/1,434
2022/11/1,795
2022/12/1,2068
2023/1/1,1164
