date,Singapore,Korea,Japan,Philippines,Canada,United Kingdom
2001/1/1 ,25379,33541,105985,16663,20114,26389
2001/2/1 ,26571,33297,124078,18503,21251,29689
2001/3/1 ,40355,33797,132012,26393,26398,38918
2001/4/1 ,31764,33804,106145,33428,21951,34295
2001/5/1 ,37937,36286,116515,30181,20521,27475
2001/6/1 ,44961,34135,110706,22451,16630,23652
2001/7/1 ,29609,36386,108803,20574,20347,25928
2001/8/1 ,35675,44609,121093,25040,18710,26064
2001/9/1 ,29242,31246,117575,21011,14964,27213
2001/10/1 ,25531,34072,84667,24244,21900,35944
2001/11/1 ,38301,36139,96314,25133,23807,35244
2001/12/1 ,56193,38420,112645,29484,23114,29770
2002/1/1 ,26545,42997,109993,17300,21864,28790
2002/2/1 ,23830,36946,93815,20173,17663,27639
2002/3/1 ,37530,38874,129040,34320,25826,40683
2002/4/1 ,29679,40275,107378,28585,24541,35179
2002/5/1 ,37077,31423,114744,36443,21020,26774
2002/6/1 ,41820,30433,108850,28248,17764,23832
2002/7/1 ,32570,35122,110209,23219,20651,26829
2002/8/1 ,34458,45384,121978,29594,19040,26495
2002/9/1 ,28432,32463,130013,25815,17065,29119
2002/10/1 ,29773,38706,109610,29191,26673,41207
2002/11/1 ,45130,43465,131023,26950,28147,41259
2002/12/1 ,59324,41355,128367,29766,24713,32159
2003/1/1 ,25719,49274,123019,22773,22613,32237
2003/2/1 ,24199,40655,99453,22877,18756,29960
2003/3/1 ,21910,30866,102959,22606,21823,36492
2003/4/1 ,2555,5929,15546,4553,5351,5901
2003/5/1 ,3205,6822,10918,4063,3958,3369
2003/6/1 ,9300,14849,21088,6851,6945,9343
2003/7/1 ,21666,30292,59442,16654,13251,18192
2003/8/1 ,24720,41290,77871,26163,15081,20828
2003/9/1 ,29064,33081,94964,28433,15052,25333
2003/10/1 ,28564,37100,81911,27116,20622,35502
2003/11/1 ,33721,41677,86170,24101,20671,35547
2003/12/1 ,41106,36344,93819,28070,22686,28614
2004/1/1 ,19969,37006,68062,16766,18483,25229
2004/2/1 ,23875,37513,69725,21313,17834,35097
2004/3/1 ,31075,37622,82260,26050,22495,43390
2004/4/1 ,30758,44722,82091,31636,21858,35497
2004/5/1 ,34589,38076,86365,30150,21350,28997
2004/6/1 ,53278,41469,88358,30721,20408,26972
2004/7/1 ,35084,49663,98811,27917,22860,30903
2004/8/1 ,38853,52703,103276,27909,22023,30505
2004/9/1 ,36035,44670,115749,27280,18363,29602
2004/10/1 ,37599,48786,98557,34167,29069,45487
2004/11/1 ,52284,55822,109364,29644,30067,44267
2004/12/1 ,70523,51140,123632,33120,29115,35341
2005/1/1 ,42725,53643,115957,24135,25621,39292
2005/2/1 ,30387,46151,89686,28869,19333,32350
2005/3/1 ,49847,42506,111183,33975,29124,48773
2005/4/1 ,42913,51457,86179,34869,26206,42371
2005/5/1 ,50758,50832,87988,40199,24662,32204
2005/6/1 ,55060,57555,90343,29526,20063,30396
2005/7/1 ,43856,57983,92029,28405,24784,34089
2005/8/1 ,40969,61937,98053,25474,23189,34031
2005/9/1 ,39583,52034,113458,29863,20031,34931
2005/10/1 ,42535,57183,94237,40207,31092,50028
2005/11/1 ,59952,53115,115049,35064,33325,47097
2005/12/1 ,74745,58084,116686,40463,31412,39039
2006/1/1 ,35157,60723,101602,28043,26049,38689
2006/2/1 ,32322,59013,96283,31432,22309,41460
2006/3/1 ,50716,53903,122773,39736,31849,51059
2006/4/1 ,42163,55107,90793,47661,28788,47601
2006/5/1 ,48696,52803,108542,50590,26268,34785
2006/6/1 ,61703,52135,105770,37780,21046,30895
2006/7/1 ,42044,60239,101269,31373,28506,35205
2006/8/1 ,41766,67950,118692,32064,25586,37240
2006/9/1 ,43908,51784,116977,32145,21037,38076
2006/10/1 ,43530,61428,100137,40353,33134,55525
2006/11/1 ,66014,64470,124450,38108,36748,56107
2006/12/1 ,80455,79203,123823,44751,34377,49853
2007/1/1 ,39484,79438,117870,33624,29852,49015
2007/2/1 ,29343,64272,93745,33391,24037,41763
2007/3/1 ,52258,64220,125723,49326,34612,66356
2007/4/1 ,42246,59216,93085,55289,32718,54491
2007/5/1 ,51308,65183,104286,59264,29435,43362
2007/6/1 ,64089,61598,107841,49080,23700,38034
2007/7/1 ,45845,77832,102294,40144,33702,43924
2007/8/1 ,47833,88813,114216,41191,31034,45846
2007/9/1 ,46592,66497,117006,39683,26547,44284
2007/10/1 ,46579,67708,102287,50410,42018,62480
2007/11/1 ,74197,81131,120581,48530,45148,61257
2007/12/1 ,92189,100323,125402,53010,42364,50356
2008/1/1 ,41515,101818,116992,37586,36905,52452
2008/2/1 ,36249,96445,94238,37711,29465,53836
2008/3/1 ,57891,72756,114169,51241,41509,70102
2008/4/1 ,42670,69794,93639,55478,34099,54453
2008/5/1 ,53915,86465,106121,64951,31250,39388
2008/6/1 ,60830,73435,107688,43653,24053,33245
2008/7/1 ,40751,78498,105877,37737,29187,37114
2008/8/1 ,37070,88001,109232,39675,24934,37501
2008/9/1 ,41830,55338,120706,38005,22142,37232
2008/10/1 ,48519,66823,107116,50041,34688,53020
2008/11/1 ,72524,56108,117348,49384,36156,52339
2008/12/1 ,98873,58839,131671,63078,34658,43302
2009/1/1 ,37764,58451,94146,34228,28523,41185
2009/2/1 ,35946,54222,109012,40800,25205,40448
2009/3/1 ,58878,44204,112937,52483,34809,56998
2009/4/1 ,50216,50589,81442,64482,33997,51742
2009/5/1 ,39541,48796,78156,52399,30800,36204
2009/6/1 ,50929,42923,70886,36007,21951,31520
2009/7/1 ,39120,59359,95762,33922,29315,37283
2009/8/1 ,42582,66398,110854,45575,26928,39212
2009/9/1 ,48944,36080,125475,40920,23987,37468
2009/10/1 ,52430,42211,94828,46677,35902,49949
2009/11/1 ,73144,48428,110671,51141,36978,51988
2009/12/1 ,94236,67033,120321,65116,33527,39987
2010/1/1 ,47947,82126,114839,43032,29889,44429
2010/2/1 ,34813,72873,86106,39501,25180,40980
2010/3/1 ,61359,70336,133252,55835,35978,60887
2010/4/1 ,50511,65361,95427,62766,35759,45578
2010/5/1 ,58523,70554,109250,70418,34962,36685
2010/6/1 ,67650,58162,104485,53602,25362,30976
2010/7/1 ,49401,76011,102954,45514,34471,36626
2010/8/1 ,49368,90091,116658,44490,31879,36942
2010/9/1 ,53099,74638,119919,35197,29451,37633
2010/10/1 ,57343,66466,99873,46908,45045,51923
2010/11/1 ,79782,74845,113034,49656,40611,54792
2010/12/1 ,99981,89561,120821,56111,35665,38242
2011/1/1 ,48814,102546,113373,40931,33603,42021
2011/2/1 ,39933,90597,99430,43576,26655,40391
2011/3/1 ,68135,66392,114104,58375,40201,57263
2011/4/1 ,60365,74392,85056,62550,36602,50566
2011/5/1 ,60501,83827,94151,66309,34103,37073
2011/6/1 ,81788,79869,92834,49279,26810,29933
2011/7/1 ,57473,89604,99405,43518,32710,36039
2011/8/1 ,53795,104831,118521,49305,30872,36445
2011/9/1 ,61662,72652,113229,48891,27837,37293
2011/10/1 ,59083,76859,104495,63467,41590,50277
2011/11/1 ,88043,81146,119683,62019,42926,50517
2011/12/1 ,114295,98281,129406,71609,36682,38739
2012/1/1 ,41182,110448,93861,45140,31209,40122
2012/2/1 ,46551,110751,122338,59789,28806,49134
2012/3/1 ,67116,82981,127937,63523,39770,64489
2012/4/1 ,55119,73401,93678,73203,36660,50121
2012/5/1 ,58891,78574,102904,78429,33221,38369
2012/6/1 ,72449,75664,108216,55033,25703,33734
2012/7/1 ,51450,88247,111576,46272,31150,35969
2012/8/1 ,50666,109102,131938,47897,27760,36268
2012/9/1 ,49715,76876,103043,46137,26519,37643
